name_playlist;name_video;published;view_count;like_count;dislike_count;favorite_count;comment_count;duration
Журналистика;Демьян Кудрявцев: Собчак, Путин, «Ведомости» и пара революций #ещенепознер;2020-04-30T07:03:35Z;232039;6685;469;0;888;6208
Журналистика;История «Медузы»: как это было на самом деле #ещенепознер;2020-07-23T07:00:06Z;369002;9461;2675;0;1743;10155
Журналистика;Лев Лурье: невероятная история главного города России #ещенепознер;2020-10-01T16:15:01Z;305790;10071;256;0;936;5135
Журналистика;Максим Шевченко: «Мир заполнен злом. И нет места надежде» #ещенепознер;2020-10-22T08:00:17Z;479306;20526;1578;0;5390;6203
Журналистика;Александр Проханов: «Русский Ренессанс» #ещенепознер;2021-03-18T16:00:01Z;82119;2732;886;0;1591;5724
Религия;Георгий Митрофанов: КГБ, ЛГБТ и русский апокалипсис #ещенепознер;2019-07-18T08:09:21Z;362110;10374;744;0;1868;4940
Религия;Алексей Уминский: пофигизм, патриарх и яйцо динозавра #ещёнепознер;2019-02-07T07:01:29Z;339367;10062;384;0;1275;3861
Религия;Андрей Кураев: развратники, лицемеры и новый патриарх #ещенепознер;2020-01-30T07:02:14Z;622341;16406;1261;0;3809;5153
Религия;Георгий Кочетков: «Все молчали. Мы молчать не должны» #ещенепознер;2020-10-29T08:00:10Z;234780;5683;1161;0;2153;5881
Религия;Митрополит Иларион: «Винни-Пух и все-все-все» #ещенепознер;2020-11-19T08:00:05Z;250079;6639;1009;0;2717;5148
Общество;Николай Сванидзе: Путин/АнтиПутин и Сталин/АнтиСталин #ещенепознер;2019-06-27T07:00:03Z;279974;8294;633;0;1207;2831
Общество;Ирина Прохорова: женщина — президент России и война всех против всех #ещенепознер;2019-07-04T07:08:42Z;164717;5146;539;0;1008;3286
